Organism	Name	Cell Type	Reference	URL	Entrez ID	Function
Mouse	SYCN	Acinar cells	PanglaoDB	https://panglaodb.se/	68416	syncollin
Mouse	PNLIPRP1	Acinar cells	PanglaoDB	https://panglaodb.se/	18946	pancreatic lipase related protein 1
Mouse	CTRC	Acinar cells	PanglaoDB	https://panglaodb.se/	76701	chymotrypsin C (caldecrin)
Mouse	REG3A	Acinar cells	PanglaoDB	https://panglaodb.se/	19694	regenerating islet-derived 3 alpha
Mouse	PRSS3	Acinar cells	PanglaoDB	https://panglaodb.se/	22073	protease, serine 3
Mouse	CFB	Acinar cells	PanglaoDB	https://panglaodb.se/	14962	complement factor B
Mouse	GDF15	Acinar cells	PanglaoDB	https://panglaodb.se/	23886	growth differentiation factor 15
Mouse	MUC1	Acinar cells	PanglaoDB	https://panglaodb.se/	17829	mucin 1, transmembrane
Mouse	DUOXA2	Acinar cells	PanglaoDB	https://panglaodb.se/	66811	dual oxidase maturation factor 2
Mouse	OLFM4	Acinar cells	PanglaoDB	https://panglaodb.se/	380924	olfactomedin 4
Mouse	GSTA1	Acinar cells	PanglaoDB	https://panglaodb.se/	14857	glutathione S-transferase, alpha 1 (Ya)
Mouse	LGALS2	Acinar cells	PanglaoDB	https://panglaodb.se/	107753	lectin, galactose-binding, soluble 2
Mouse	PDZK1IP1	Acinar cells	PanglaoDB	https://panglaodb.se/	67182	PDZK1 interacting protein 1
Mouse	RARRES2	Acinar cells	PanglaoDB	https://panglaodb.se/	71660	retinoic acid receptor responder (tazarotene induced) 2
Mouse	CXCL17	Acinar cells	PanglaoDB	https://panglaodb.se/	232983	chemokine (C-X-C motif) ligand 17
Mouse	UBD	Acinar cells	PanglaoDB	https://panglaodb.se/	24108	ubiquitin D
Mouse	GSTA2	Acinar cells	PanglaoDB	https://panglaodb.se/	14858	glutathione S-transferase, alpha 2 (Yc2)
Mouse	ANPEP	Acinar cells	PanglaoDB	https://panglaodb.se/	16790	alanyl (membrane) aminopeptidase
Mouse	ANGPTL4	Acinar cells	PanglaoDB	https://panglaodb.se/	57875	angiopoietin-like 4
Mouse	ALDOB	Acinar cells	PanglaoDB	https://panglaodb.se/	230163	aldolase B, fructose-bisphosphate
Mouse	CEBPA	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	12606	CCAAT/enhancer binding protein (C/EBP), alpha
Mouse	EGFR	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	13649	epidermal growth factor receptor
Mouse	FGF10	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	14165	fibroblast growth factor 10
Mouse	GSC	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	14836	goosecoid homeobox
Mouse	MMP3	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	17392	matrix metallopeptidase 3
Mouse	PPARG	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	19016	peroxisome proliferator activated receptor gamma
Mouse	TWIST2	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	13345	twist basic helix-loop-helix transcription factor 2
Mouse	GATA3	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	14462	GATA binding protein 3
Mouse	GLI1	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	14632	GLI-Kruppel family member GLI1
Mouse	SMO	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	319757	smoothened, frizzled class receptor
Mouse	STAB1	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	192187	stabilin 1
Mouse	WISP2	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	22403	cellular communication network factor 5
Mouse	WT1	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	22431	Wilms tumor 1 homolog
Mouse	SCARA5	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	71145	scavenger receptor class A, member 5
Mouse	HOXC8	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	15426	homeobox C8
Mouse	TCF7L1	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	21415	transcription factor 7 like 1 (T cell specific, HMG box)
Mouse	HOXC9	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	15427	homeobox C9
Mouse	HOXC6	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	15425	homeobox C6
Mouse	HOXC4	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	15423	homeobox C4
Mouse	SULT1E1	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	20860	sulfotransferase family 1E, member 1
Mouse	EBF2	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	13592	early B cell factor 2
Mouse	NRG4	Adipocyte progenitor cells	PanglaoDB	https://panglaodb.se/	83961	neuregulin 4
Mouse	SLC36A2	Adipocytes	PanglaoDB	https://panglaodb.se/	246049	solute carrier family 36 (proton/amino acid symporter), member 2
Mouse	P2RX5	Adipocytes	PanglaoDB	https://panglaodb.se/	94045	purinergic receptor P2X, ligand-gated ion channel, 5
Mouse	LEP	Adipocytes	PanglaoDB	https://panglaodb.se/	16846	leptin
Mouse	UCP1	Adipocytes	PanglaoDB	https://panglaodb.se/	22227	uncoupling protein 1 (mitochondrial, proton carrier)
Mouse	CIDEA	Adipocytes	PanglaoDB	https://panglaodb.se/	12683	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A
Mouse	PRDM16	Adipocytes	PanglaoDB	https://panglaodb.se/	70673	PR domain containing 16
Mouse	LHX8	Adipocytes	PanglaoDB	https://panglaodb.se/	16875	LIM homeobox protein 8
Mouse	EPSTI1	Adipocytes	PanglaoDB	https://panglaodb.se/	108670	epithelial stromal interaction 1 (breast)
Mouse	MC2R	Adipocytes	PanglaoDB	https://panglaodb.se/	17200	melanocortin 2 receptor
Mouse	FFAR2	Adipocytes	PanglaoDB	https://panglaodb.se/	233079	free fatty acid receptor 2
Mouse	PIKFYVE	Adipocytes	PanglaoDB	https://panglaodb.se/	18711	phosphoinositide kinase, FYVE type zinc finger containing
Mouse	CYP11B2	Adipocytes	PanglaoDB	https://panglaodb.se/	13072	cytochrome P450, family 11, subfamily b, polypeptide 2
Mouse	TLR2	Adipocytes	PanglaoDB	https://panglaodb.se/	24088	toll-like receptor 2
Mouse	TLR4	Adipocytes	PanglaoDB	https://panglaodb.se/	21898	toll-like receptor 4
Mouse	ADRB1	Adipocytes	PanglaoDB	https://panglaodb.se/	11554	adrenergic receptor, beta 1
Mouse	ADRB2	Adipocytes	PanglaoDB	https://panglaodb.se/	11555	adrenergic receptor, beta 2
Mouse	ADRB3	Adipocytes	PanglaoDB	https://panglaodb.se/	11556	adrenergic receptor, beta 3
Mouse	FABP4	Adipocytes	PanglaoDB	https://panglaodb.se/	11770	fatty acid binding protein 4, adipocyte
Mouse	TNFRSF9	Adipocytes	PanglaoDB	https://panglaodb.se/	21942	tumor necrosis factor receptor superfamily, member 9
Mouse	TBX1	Adipocytes	PanglaoDB	https://panglaodb.se/	21380	T-box 1
Mouse	TMEM26	Adipocytes	PanglaoDB	https://panglaodb.se/	327766	transmembrane protein 26
Mouse	TCF21	Adipocytes	PanglaoDB	https://panglaodb.se/	21412	transcription factor 21
Mouse	ADIPOQ	Adipocytes	PanglaoDB	https://panglaodb.se/	11450	adiponectin, C1Q and collagen domain containing
Mouse	CFD	Adipocytes	PanglaoDB	https://panglaodb.se/	11537	complement factor D (adipsin)
Mouse	ACVR1C	Adipocytes	PanglaoDB	https://panglaodb.se/	269275	activin A receptor, type IC
Mouse	SLC2A4	Adipocytes	PanglaoDB	https://panglaodb.se/	20528	solute carrier family 2 (facilitated glucose transporter), member 4
Mouse	LPIN1	Adipocytes	PanglaoDB	https://panglaodb.se/	14245	lipin 1
Mouse	PLIN1	Adipocytes	PanglaoDB	https://panglaodb.se/	103968	perilipin 1
Mouse	PCK1	Adipocytes	PanglaoDB	https://panglaodb.se/	18534	phosphoenolpyruvate carboxykinase 1, cytosolic
Mouse	PPARG	Adipocytes	PanglaoDB	https://panglaodb.se/	19016	peroxisome proliferator activated receptor gamma
Mouse	RETN	Adipocytes	PanglaoDB	https://panglaodb.se/	57264	resistin
Mouse	MEST	Adipocytes	PanglaoDB	https://panglaodb.se/	17294	mesoderm specific transcript
Mouse	ADM2	Adipocytes	PanglaoDB	https://panglaodb.se/	223780	adrenomedullin 2
Mouse	STAT6	Adipocytes	PanglaoDB	https://panglaodb.se/	20852	signal transducer and activator of transcription 6
Mouse	TFE3	Adipocytes	PanglaoDB	https://panglaodb.se/	209446	transcription factor E3
Mouse	CPPED1	Adipocytes	PanglaoDB	https://panglaodb.se/	223978	calcineurin-like phosphoesterase domain containing 1
Mouse	APPL2	Adipocytes	PanglaoDB	https://panglaodb.se/	216190	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
Mouse	APOL6	Adipocytes	PanglaoDB	https://panglaodb.se/	71939	apolipoprotein L 6
Mouse	PXMP2	Adipocytes	PanglaoDB	https://panglaodb.se/	19301	peroxisomal membrane protein 2
Mouse	AGT	Adipocytes	PanglaoDB	https://panglaodb.se/	11606	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
Mouse	SLC1A5	Adipocytes	PanglaoDB	https://panglaodb.se/	20514	solute carrier family 1 (neutral amino acid transporter), member 5
Mouse	ACSL1	Adipocytes	PanglaoDB	https://panglaodb.se/	14081	acyl-CoA synthetase long-chain family member 1
Mouse	CAR3	Adipocytes	PanglaoDB	https://panglaodb.se/	12350	carbonic anhydrase 3
Mouse	BCAT2	Adipocytes	PanglaoDB	https://panglaodb.se/	12036	branched chain aminotransferase 2, mitochondrial
Mouse	PNPLA2	Adipocytes	PanglaoDB	https://panglaodb.se/	66853	patatin-like phospholipase domain containing 2
Mouse	CIDEC	Adipocytes	PanglaoDB	https://panglaodb.se/	14311	cell death-inducing DFFA-like effector c
Mouse	CDO1	Adipocytes	PanglaoDB	https://panglaodb.se/	12583	cysteine dioxygenase 1, cytosolic
Mouse	APOC1	Adipocytes	PanglaoDB	https://panglaodb.se/	11812	apolipoprotein C-I
Mouse	MMP2	Adipocytes	PanglaoDB	https://panglaodb.se/	17390	matrix metallopeptidase 2
Mouse	POSTN	Adipocytes	PanglaoDB	https://panglaodb.se/	50706	periostin, osteoblast specific factor
Mouse	LOX	Adipocytes	PanglaoDB	https://panglaodb.se/	16948	lysyl oxidase
Mouse	COL6A2	Adipocytes	PanglaoDB	https://panglaodb.se/	12834	collagen, type VI, alpha 2
Mouse	ZBTB16	Adipocytes	PanglaoDB	https://panglaodb.se/	235320	zinc finger and BTB domain containing 16
Mouse	GULP1	Adipocytes	PanglaoDB	https://panglaodb.se/	70676	GULP, engulfment adaptor PTB domain containing 1
Mouse	FZD4	Adipocytes	PanglaoDB	https://panglaodb.se/	14366	frizzled class receptor 4
Mouse	TRIP10	Adipocytes	PanglaoDB	https://panglaodb.se/	106628	thyroid hormone receptor interactor 10
Mouse	FGF7	Adipocytes	PanglaoDB	https://panglaodb.se/	14178	fibroblast growth factor 7
Mouse	MAOB	Adipocytes	PanglaoDB	https://panglaodb.se/	109731	monoamine oxidase B
Mouse	SOCS1	Adipocytes	PanglaoDB	https://panglaodb.se/	12703	suppressor of cytokine signaling 1
Mouse	ARNT	Adipocytes	PanglaoDB	https://panglaodb.se/	11863	aryl hydrocarbon receptor nuclear translocator
Mouse	SULT1A1	Adipocytes	PanglaoDB	https://panglaodb.se/	20887	sulfotransferase family 1A, phenol-preferring, member 1
Mouse	NNMT	Adipocytes	PanglaoDB	https://panglaodb.se/	18113	nicotinamide N-methyltransferase
Mouse	AOC3	Adipocytes	PanglaoDB	https://panglaodb.se/	11754	amine oxidase, copper containing 3
Mouse	H6PD	Adipocytes	PanglaoDB	https://panglaodb.se/	100198	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
Mouse	CYP27A1	Adipocytes	PanglaoDB	https://panglaodb.se/	104086	cytochrome P450, family 27, subfamily a, polypeptide 1
Mouse	EBF2	Adipocytes	PanglaoDB	https://panglaodb.se/	13592	early B cell factor 2
Mouse	MNDA	Adipocytes	PanglaoDB	https://panglaodb.se/	381308	interferon activated gene 211
Mouse	HSD11B1	Adipocytes	PanglaoDB	https://panglaodb.se/	15483	hydroxysteroid 11-beta dehydrogenase 1
Mouse	AR	Adipocytes	PanglaoDB	https://panglaodb.se/	11835	androgen receptor
Mouse	GDF10	Adipocytes	PanglaoDB	https://panglaodb.se/	14560	growth differentiation factor 10
Mouse	CYP1B1	Adipocytes	PanglaoDB	https://panglaodb.se/	13078	cytochrome P450, family 1, subfamily b, polypeptide 1
Mouse	COL5A3	Adipocytes	PanglaoDB	https://panglaodb.se/	53867	collagen, type V, alpha 3
Mouse	STEAP4	Adipocytes	PanglaoDB	https://panglaodb.se/	117167	STEAP family member 4
Mouse	CCL11	Adipocytes	PanglaoDB	https://panglaodb.se/	20292	chemokine (C-C motif) ligand 11
Mouse	NR1H3	Adipocytes	PanglaoDB	https://panglaodb.se/	22259	nuclear receptor subfamily 1, group H, member 3
Mouse	DEPTOR	Adipocytes	PanglaoDB	https://panglaodb.se/	97998	DEP domain containing MTOR-interacting protein
Mouse	CYTH3	Adipocytes	PanglaoDB	https://panglaodb.se/	19159	cytohesin 3
Mouse	FMO1	Adipocytes	PanglaoDB	https://panglaodb.se/	14261	flavin containing monooxygenase 1
Mouse	ACADSB	Adipocytes	PanglaoDB	https://panglaodb.se/	66885	acyl-Coenzyme A dehydrogenase, short/branched chain
Mouse	XDH	Adipocytes	PanglaoDB	https://panglaodb.se/	22436	xanthine dehydrogenase
Mouse	RSPO3	Adipocytes	PanglaoDB	https://panglaodb.se/	72780	R-spondin 3
Mouse	PTGES	Adipocytes	PanglaoDB	https://panglaodb.se/	64292	prostaglandin E synthase
Mouse	CREB3L1	Adipocytes	PanglaoDB	https://panglaodb.se/	26427	cAMP responsive element binding protein 3-like 1
Mouse	ANGPTL2	Adipocytes	PanglaoDB	https://panglaodb.se/	26360	angiopoietin-like 2
Mouse	ADAM12	Adipocytes	PanglaoDB	https://panglaodb.se/	11489	a disintegrin and metallopeptidase domain 12 (meltrin alpha)
Mouse	ADH1	Adipocytes	PanglaoDB	https://panglaodb.se/	11522	alcohol dehydrogenase 1 (class I)
Mouse	LBP	Adipocytes	PanglaoDB	https://panglaodb.se/	16803	lipopolysaccharide binding protein
Mouse	NMB	Adipocytes	PanglaoDB	https://panglaodb.se/	68039	neuromedin B
Mouse	RARRES2	Adipocytes	PanglaoDB	https://panglaodb.se/	71660	retinoic acid receptor responder (tazarotene induced) 2
Mouse	FST	Adipocytes	PanglaoDB	https://panglaodb.se/	14313	follistatin
Mouse	EGFR	Adipocytes	PanglaoDB	https://panglaodb.se/	13649	epidermal growth factor receptor
Mouse	CPXM1	Adipocytes	PanglaoDB	https://panglaodb.se/	56264	carboxypeptidase X 1 (M14 family)
Mouse	C3	Adipocytes	PanglaoDB	https://panglaodb.se/	12266	complement component 3
Mouse	ADAMTS5	Adipocytes	PanglaoDB	https://panglaodb.se/	23794	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
Mouse	TIMP1	Adipocytes	PanglaoDB	https://panglaodb.se/	21857	tissue inhibitor of metalloproteinase 1
Mouse	METRN	Adipocytes	PanglaoDB	https://panglaodb.se/	70083	meteorin, glial cell differentiation regulator
Mouse	METRNL	Adipocytes	PanglaoDB	https://panglaodb.se/	210029	meteorin, glial cell differentiation regulator-like
Mouse	MYO1C	Adipocytes	PanglaoDB	https://panglaodb.se/	17913	myosin IC
Mouse	NQO1	Adipocytes	PanglaoDB	https://panglaodb.se/	18104	NAD(P)H dehydrogenase, quinone 1
Mouse	SYAP1	Adipocytes	PanglaoDB	https://panglaodb.se/	67043	synapse associated protein 1
Mouse	CRNDE	Adipocytes	PanglaoDB	https://panglaodb.se/	71296	colorectal neoplasia differentially expressed (non-protein coding)
Mouse	AQP5	Adipocytes	PanglaoDB	https://panglaodb.se/	11830	aquaporin 5
Mouse	TSPO	Adipocytes	PanglaoDB	https://panglaodb.se/	12257	translocator protein
Mouse	AZGP1	Adipocytes	PanglaoDB	https://panglaodb.se/	12007	alpha-2-glycoprotein 1, zinc
Mouse	LRP1	Adipocytes	PanglaoDB	https://panglaodb.se/	16971	low density lipoprotein receptor-related protein 1
Mouse	PDE3B	Adipocytes	PanglaoDB	https://panglaodb.se/	18576	phosphodiesterase 3B, cGMP-inhibited
Mouse	LGALS12	Adipocytes	PanglaoDB	https://panglaodb.se/	56072	lectin, galactose binding, soluble 12
Mouse	SERPINF1	Adipocytes	PanglaoDB	https://panglaodb.se/	20317	serine (or cysteine) peptidase inhibitor, clade F, member 1
Mouse	CPT1B	Adipocytes	PanglaoDB	https://panglaodb.se/	12895	carnitine palmitoyltransferase 1b, muscle
Mouse	ELOVL3	Adipocytes	PanglaoDB	https://panglaodb.se/	12686	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3
Mouse	PPARGC1A	Adipocytes	PanglaoDB	https://panglaodb.se/	19017	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
Mouse	MPZL1	Adipocytes	PanglaoDB	https://panglaodb.se/	68481	myelin protein zero-like 1
Mouse	CITED1	Adipocytes	PanglaoDB	https://panglaodb.se/	12705	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1
Mouse	DPT	Adipocytes	PanglaoDB	https://panglaodb.se/	56429	dermatopontin
Mouse	HOXC9	Adipocytes	PanglaoDB	https://panglaodb.se/	15427	homeobox C9
Mouse	ESM1	Adipocytes	PanglaoDB	https://panglaodb.se/	71690	endothelial cell-specific molecule 1
Mouse	TH	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	21823	tyrosine hydroxylase
Mouse	DDC	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	13195	dopa decarboxylase
Mouse	DBH	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	13166	dopamine beta hydroxylase
Mouse	PNMT	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	18948	phenylethanolamine-N-methyltransferase
Mouse	SLC18A2	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	214084	solute carrier family 18 (vesicular monoamine), member 2
Mouse	NPFF	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	54615	neuropeptide FF-amide peptide precursor
Mouse	SLC12A7	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	20499	solute carrier family 12, member 7
Mouse	SYT1	Adrenergic neurons	PanglaoDB	https://panglaodb.se/	20979	synaptotagmin I
Mouse	AQP1	Airway epithelial cells	PanglaoDB	https://panglaodb.se/	11826	aquaporin 1
Mouse	ADH7	Airway epithelial cells	PanglaoDB	https://panglaodb.se/	11529	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
Mouse	CDH1	Airway epithelial cells	PanglaoDB	https://panglaodb.se/	12550	cadherin 1
Mouse	SEC14L3	Airway epithelial cells	PanglaoDB	https://panglaodb.se/	380683	SEC14-like lipid binding 3
Mouse	MUC5B	Airway goblet cells	PanglaoDB	https://panglaodb.se/	74180	mucin 5, subtype B, tracheobronchial
Mouse	MUC16	Airway goblet cells	PanglaoDB	https://panglaodb.se/	73732	mucin 16
Mouse	LTF	Airway goblet cells	PanglaoDB	https://panglaodb.se/	17002	lactotransferrin
Mouse	SCGB3A1	Airway goblet cells	PanglaoDB	https://panglaodb.se/	68662	secretoglobin, family 3A, member 1
Mouse	DCPP1	Airway goblet cells	PanglaoDB	https://panglaodb.se/	13184	demilune cell and parotid protein 1
Mouse	DMBT1	Airway goblet cells	PanglaoDB	https://panglaodb.se/	12945	deleted in malignant brain tumors 1
Mouse	WFDC18	Airway goblet cells	PanglaoDB	https://panglaodb.se/	14038	WAP four-disulfide core domain 18
Mouse	DCPP3	Airway goblet cells	PanglaoDB	https://panglaodb.se/	620253	demilune cell and parotid protein 3
Mouse	LIPF	Airway goblet cells	PanglaoDB	https://panglaodb.se/	67717	lipase, gastric
Mouse	DCPP2	Airway goblet cells	PanglaoDB	https://panglaodb.se/	630537	demilune cell and parotid protein 2
Mouse	MSLN	Airway goblet cells	PanglaoDB	https://panglaodb.se/	56047	mesothelin
Mouse	AGR2	Airway goblet cells	PanglaoDB	https://panglaodb.se/	23795	anterior gradient 2
Mouse	GP2	Airway goblet cells	PanglaoDB	https://panglaodb.se/	67133	glycoprotein 2 (zymogen granule membrane)
Mouse	PIGR	Airway goblet cells	PanglaoDB	https://panglaodb.se/	18703	polymeric immunoglobulin receptor
Mouse	TFF2	Airway goblet cells	PanglaoDB	https://panglaodb.se/	21785	trefoil factor 2 (spasmolytic protein 1)
Mouse	AQP5	Airway goblet cells	PanglaoDB	https://panglaodb.se/	11830	aquaporin 5
Mouse	CBR2	Airway goblet cells	PanglaoDB	https://panglaodb.se/	12409	carbonyl reductase 2
Mouse	QSOX1	Airway goblet cells	PanglaoDB	https://panglaodb.se/	104009	quiescin Q6 sulfhydryl oxidase 1
Mouse	FXYD3	Airway goblet cells	PanglaoDB	https://panglaodb.se/	17178	FXYD domain-containing ion transport regulator 3
Mouse	SEC23B	Airway goblet cells	PanglaoDB	https://panglaodb.se/	27054	SEC23 homolog B, COPII coat complex component
Mouse	CEACAM1	Airway goblet cells	PanglaoDB	https://panglaodb.se/	26365	carcinoembryonic antigen-related cell adhesion molecule 1
Mouse	GOLPH3	Airway goblet cells	PanglaoDB	https://panglaodb.se/	66629	golgi phosphoprotein 3
Mouse	GGH	Airway goblet cells	PanglaoDB	https://panglaodb.se/	14590	gamma-glutamyl hydrolase
Mouse	GALNT5	Airway goblet cells	PanglaoDB	https://panglaodb.se/	241391	polypeptide N-acetylgalactosaminyltransferase 5
Mouse	GALNT6	Airway goblet cells	PanglaoDB	https://panglaodb.se/	207839	polypeptide N-acetylgalactosaminyltransferase 6
Mouse	MUC5AC	Airway goblet cells	PanglaoDB	https://panglaodb.se/	17833	mucin 5, subtypes A and C, tracheobronchial/gastric
Mouse	MUC4	Airway goblet cells	PanglaoDB	https://panglaodb.se/	140474	mucin 4
Mouse	MUC20	Airway goblet cells	PanglaoDB	https://panglaodb.se/	224116	mucin 20
Mouse	SPDEF	Airway goblet cells	PanglaoDB	https://panglaodb.se/	30051	SAM pointed domain containing ets transcription factor
Mouse	DUSP4	Airway goblet cells	PanglaoDB	https://panglaodb.se/	319520	dual specificity phosphatase 4
Mouse	NOG	Airway smooth muscle cells	PanglaoDB	https://panglaodb.se/	18121	noggin
Mouse	ACTA2	Airway smooth muscle cells	PanglaoDB	https://panglaodb.se/	11475	actin, alpha 2, smooth muscle, aorta
Mouse	FOXF1	Airway smooth muscle cells	PanglaoDB	https://panglaodb.se/	15227	forkhead box F1
Mouse	GATA5	Airway smooth muscle cells	PanglaoDB	https://panglaodb.se/	14464	GATA binding protein 5
Mouse	GCG	Alpha cells	PanglaoDB	https://panglaodb.se/	14526	glucagon
Mouse	TTR	Alpha cells	PanglaoDB	https://panglaodb.se/	22139	transthyretin
Mouse	GLP1R	Alpha cells	PanglaoDB	https://panglaodb.se/	14652	glucagon-like peptide 1 receptor
Mouse	ARX	Alpha cells	PanglaoDB	https://panglaodb.se/	11878	aristaless related homeobox
Mouse	POU3F4	Alpha cells	PanglaoDB	https://panglaodb.se/	18994	POU domain, class 3, transcription factor 4
Mouse	NKX2-2	Alpha cells	PanglaoDB	https://panglaodb.se/	18088	NK2 homeobox 2
Mouse	RESP18	Alpha cells	PanglaoDB	https://panglaodb.se/	19711	regulated endocrine-specific protein 18
Mouse	PYY	Alpha cells	PanglaoDB	https://panglaodb.se/	217212	peptide YY
Mouse	PCSK2	Alpha cells	PanglaoDB	https://panglaodb.se/	18549	proprotein convertase subtilisin/kexin type 2
Mouse	SLC38A5	Alpha cells	PanglaoDB	https://panglaodb.se/	209837	solute carrier family 38, member 5
Mouse	TM4SF4	Alpha cells	PanglaoDB	https://panglaodb.se/	229302	transmembrane 4 superfamily member 4
Mouse	CRYBA2	Alpha cells	PanglaoDB	https://panglaodb.se/	12958	crystallin, beta A2
Mouse	NKX6-1	Alpha cells	PanglaoDB	https://panglaodb.se/	18096	NK6 homeobox 1
Mouse	KCNK16	Alpha cells	PanglaoDB	https://panglaodb.se/	74571	potassium channel, subfamily K, member 16
Mouse	PCSK1	Alpha cells	PanglaoDB	https://panglaodb.se/	18548	proprotein convertase subtilisin/kexin type 1
Mouse	PRRG2	Alpha cells	PanglaoDB	https://panglaodb.se/	65116	proline-rich Gla (G-carboxyglutamic acid) polypeptide 2
Mouse	IRX2	Alpha cells	PanglaoDB	https://panglaodb.se/	16372	Iroquois homeobox 2
Mouse	ALDH1A1	Alpha cells	PanglaoDB	https://panglaodb.se/	11668	aldehyde dehydrogenase family 1, subfamily A1
Mouse	PEMT	Alpha cells	PanglaoDB	https://panglaodb.se/	18618	phosphatidylethanolamine N-methyltransferase
